sample	Range	ng_uL	percentage_total	nmole_L	size	plate	type	concentration
Plate 3_F5	200 bp to 1000 bp	5.0998	96.6	20.8563	402	3	Positive	0.1
Plate 3_H5	35 bp to 100 bp	0.0493	0.9	1.1142	73	3	Positive	0.1
Plate 3_H5	100 bp to 200 bp	0.0663	1.2	0.7064	154	3	Positive	0.1
Plate 3_H5	200 bp to 1000 bp	5.3672	96.5	21.3116	414	3	Positive	0.1
Plate 1_A7	35 bp to 100 bp	9e-4	1.2	0.0259	54	1	Positive	0.01
Plate 1_A7	100 bp to 200 bp	0.0044	6.4	0.0527	138	1	Positive	0.01
Plate 1_A7	200 bp to 1000 bp	0.0536	77.4	0.2706	326	1	Positive	0.01
Plate 1_B7	35 bp to 100 bp	0.0172	12.1	0.4489	63	1	Positive	0.01
Plate 1_B7	100 bp to 200 bp	0.0278	19.6	0.3318	138	1	Positive	0.01
Plate 1_B7	200 bp to 1000 bp	0.0854	60.2	0.3983	353	1	Positive	0.01
Plate 1_C7	35 bp to 100 bp	0.0218	18.4	0.5109	70	1	Negative	0.01
Plate 1_C7	100 bp to 200 bp	0.0324	27.3	0.4319	123	1	Negative	0.01
Plate 1_C7	200 bp to 1000 bp	0.0509	42.8	0.2262	370	1	Negative	0.01
Plate 1_D7	35 bp to 100 bp	0.0211	7.2	0.518	67	1	Positive	0.01
Plate 1_D7	100 bp to 200 bp	0.0407	14	0.5098	131	1	Positive	0.01
Plate 1_D7	200 bp to 1000 bp	0.2149	73.9	0.9633	367	1	Positive	0.01
Plate 1_E7	35 bp to 100 bp	0.0175	5.6	0.4366	66	1	Positive	0.01
Plate 1_E7	100 bp to 200 bp	0.0198	6.3	0.2448	133	1	Positive	0.01
Plate 1_E7	200 bp to 1000 bp	0.2621	83.8	1.1346	380	1	Positive	0.01
Plate 1_F7	35 bp to 100 bp	0.0127	9.1	0.329	63	1	Negative	0.01
Plate 1_F7	100 bp to 200 bp	0.0154	11	0.1708	149	1	Negative	0.01
