Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eI B2-1 stitch.czi,3,4364.92,669,old caecum
G121eD3_2 tile.czi - Scene #2,3,4365.9,0,old ileum
G121eD3_3 tile.czi,1,4365.9,0,old ileum
G121eO3_1 tile.czi,2,4365.9,530,old colon
G121eO3_2 tile.czi,3,4434.4,1221,old colon
G121eI B2-3 stitch.czi,4,4434.6,347,old caecum
G121eD3_3 tile.czi,1,4446.5,0,old ileum
G121eI B2-1 stitch.czi,3,4446.72,167,old caecum
G121eD3_2 tile.czi - Scene #2,3,4450.1,0,old ileum
G121eI B2-3 stitch.czi,4,4512.5,93,old caecum
G121eO3_2 tile.czi,3,4514.9,1084,old colon
G121eD3_2 tile.czi - Scene #2,3,4525.5,0,old ileum
G121eD3_3 tile.czi,1,4526.5,0,old ileum
G121eI B2-1 stitch.czi,3,4528.52,65,old caecum
G121eI B2-3 stitch.czi,4,4592.3,356,old caecum
G121eO3_2 tile.czi,3,4592.9,115,old colon
G121eD3_2 tile.czi - Scene #2,3,4602.8,0,old ileum
G121eD3_3 tile.czi,1,4607.3,1,old ileum
G121eI B2-1 stitch.czi,3,4608.52,281,old caecum
G121eO3_2 tile.czi,3,4672.5,1020,old colon
G121eI B2-3 stitch.czi,4,4673.1,568,old caecum
G121eD3_2 tile.czi - Scene #2,3,4678.3,7,old ileum
G121eD3_3 tile.czi,1,4687.2,0,old ileum
G121eI B2-1 stitch.czi,3,4689.72,158,old caecum
G121eO3_2 tile.czi,3,4754.5,901,old colon
G121eI B2-3 stitch.czi,4,4756.7,700,old caecum
G121eD3_2 tile.czi - Scene #2,3,4760.7,0,old ileum
G121eD3_3 tile.czi,1,4766.8,0,old ileum
G121eO3_2 tile.czi,3,4834.1,398,old colon
G121eI B2-3 stitch.czi,4,4837.5,684,old caecum
G121eD3_2 tile.czi - Scene #2,3,4842.3,10,old ileum
G121eD3_3 tile.czi,1,4846.4,0,old ileum
